gps
 日期,时间,纬度,经度,速率,地面航向,海拔
17年05月10日,01时32分38秒,4047.533,11141.856,012.2,253.6,1108千米
17年05月10日,01时32分39秒,4047.532,11141.852,011.3,254.3,1106千米
17年05月10日,01时32分39秒,4047.532,11141.852,011.3,254.3,1106千米
17年05月10日,01时32分41秒,4047.557,11141.837,012.3,252.0,1181千米
17年05月10日,01时32分42秒,4047.563,11141.830,012.2,255.4,1199千米
17年05月10日,01时32分43秒,4047.561,11141.826,014.2,257.0,1195千米
17年05月10日,01时32分44秒,4047.560,11141.821,014.5,258.9,1194千米
17年05月10日,01时32分45秒,4047.559,11141.815,014.7,260.2,1192千米
17年05月10日,01时32分46秒,4047.560,11141.810,014.6,259.4,1194千米
17年05月10日,01时32分47秒,4047.558,11141.806,013.9,252.7,1195千米
17年05月10日,01时32分48秒,4047.558,11141.800,014.7,257.7,1196千米
17年05月10日,01时32分49秒,4047.555,11141.796,014.9,259.9,1184千米
17年05月10日,01时32分50秒,4047.551,11141.791,014.5,258.7,1174千米
17年05月10日,01时32分51秒,4047.549,11141.787,012.9,254.0,1167千米
17年05月10日,01时32分52秒,4047.547,11141.783,011.1,254.8,1162千米
17年05月10日,01时32分53秒,4047.548,11141.779,010.7,259.7,1159千米
17年05月10日,01时32分54秒,4047.547,11141.776,009.6,273.7,1151千米
17年05月10日,01时32分55秒,4047.547,11141.771,009.3,298.6,1147千米
17年05月10日,01时32分56秒,4047.549,11141.769,011.0,327.2,1147千米
17年05月10日,01时32分57秒,4047.552,11141.767,013.1,338.5,1147千米
17年05月10日,01时32分58秒,4047.556,11141.766,016.3,341.1,1146千米
17年05月10日,01时32分59秒,4047.560,11141.764,018.5,340.4,1145千米
17年05月10日,01时33分00秒,4047.565,11141.762,020.1,339.9,1144千米
17年05月10日,01时33分01秒,4047.571,11141.759,022.2,339.6,1144千米
17年05月10日,01时33分02秒,4047.577,11141.757,022.7,339.2,1143千米
17年05月10日,01时33分03秒,4047.583,11141.754,023.3,338.7,1142千米
17年05月10日,01时33分04秒,4047.589,11141.751,022.5,339.4,1142千米
17年05月10日,01时33分05秒,4047.595,11141.748,022.2,339.1,1142千米
17年05月10日,01时33分06秒,4047.601,11141.746,021.9,339.9,1142千米
17年05月10日,01时33分07秒,4047.607,11141.743,021.4,340.3,1142千米
17年05月10日,01时33分08秒,4047.613,11141.741,020.6,341.2,1141千米
17年05月10日,01时33分09秒,4047.618,11141.738,018.8,342.0,1142千米
17年05月10日,01时33分10秒,4047.623,11141.737,016.5,342.1,1141千米
17年05月10日,01时33分11秒,4047.627,11141.735,014.8,342.6,1140千米
17年05月10日,01时33分12秒,4047.631,11141.734,013.2,342.9,1140千米
17年05月10日,01时33分13秒,4047.634,11141.733,011.6,343.2,1139千米
17年05月10日,01时33分14秒,4047.637,11141.732,009.7,343.4,1139千米
17年05月10日,01时33分15秒,4047.639,11141.731,008.0,343.5,1139千米
17年05月10日,01时33分16秒,4047.641,11141.730,007.1,343.4,1140千米
17年05月10日,01时33分17秒,4047.643,11141.730,007.0,343.3,1139千米
17年05月10日,01时33分18秒,4047.645,11141.729,006.7,343.0,1139千米
17年05月10日,01时33分19秒,4047.646,11141.728,005.6,343.0,1138千米
17年05月10日,01时33分20秒,4047.647,11141.728,003.9,338.0,1137千米
17年05月10日,01时33分21秒,4047.648,11141.727,002.4,338.0,1137千米
17年05月10日,01时33分22秒,4047.648,11141.727,001.4,338.0,1136千米
17年05月10日,01时33分23秒,4047.648,11141.727,000.9,338.0,1135千米
17年05月10日,01时33分24秒,4047.648,11141.727,000.9,338.0,1135千米
17年05月10日,01时33分25秒,4047.617,11141.721,001.1,338.0,1132千米
17年05月10日,01时33分26秒,4047.617,11141.720,001.1,338.0,1128千米
17年05月10日,01时33分27秒,4047.617,11141.721,001.0,338.0,1122千米
17年05月10日,01时33分28秒,4047.618,11141.722,001.3,338.0,1119千米
17年05月10日,01时33分29秒,4047.618,11141.722,001.5,338.0,1115千米
17年05月10日,01时33分30秒,4047.618,11141.723,000.0,338.0,1113千米
17年05月10日,01时33分31秒,4047.617,11141.726,000.0,338.0,1101千米
17年05月10日,01时33分32秒,4047.616,11141.728,000.0,338.0,1092千米
17年05月10日,01时33分33秒,4047.617,11141.734,000.0,338.0,1071千米
17年05月10日,01时33分34秒,4047.617,11141.736,000.0,338.0,1063千米
